n_obs,mass_precision_pct_med,mass_precision_pct_p16,mass_precision_pct_p84,mass_med,mass_p16,mass_p84,P_days,sigma_eff_mps,fit_mode
2,72.70200918152636,43.144054354492425,445.0795051366753,8.224795715963857,2.124023635414681,12.543910888453416,2.32,3.843458896138824,mass_only
4,45.85588014336915,29.54324226388826,128.50204182137938,9.18059691235655,4.143474940579437,13.346899510710871,2.32,3.843458896138824,mass_only
6,36.42793231358213,26.718092648782278,63.796840453377946,8.91119100433237,5.420218324716554,11.709337575695375,2.32,3.843458896138824,mass_only
8,33.21129848384368,23.226310908513923,47.08374017258386,8.229873742230982,5.901328424066353,11.16391519673234,2.32,3.843458896138824,mass_only
10,31.294879147297713,25.280967717293443,43.86020453511583,8.03755149184894,5.763108870641856,10.053234505371291,2.32,3.843458896138824,mass_only
12,27.810947024383037,21.63479602854666,39.93990329144934,8.39815102191218,5.840409846032327,10.347668575209394,2.32,3.843458896138824,mass_only
14,25.94007598424878,20.04998814523506,33.74263154096735,8.303078182834255,6.314639095526913,10.26396167239305,2.32,3.843458896138824,mass_only
16,25.08485813016313,19.567896620948108,33.094085353434515,7.867951309403384,6.049639565294807,9.992146045198822,2.32,3.843458896138824,mass_only
18,21.531180022240285,18.529572437336164,30.134157685146217,8.473224447755232,6.539081339309587,10.036972646170492,2.32,3.843458896138824,mass_only
20,21.274711858686985,17.270937596423433,28.1939874496238,8.110930528129824,6.4854441095300555,10.186174217442318,2.32,3.843458896138824,mass_only
22,19.63044205013278,15.982245767893696,25.61626441233435,8.4991204007999,6.928460592145825,10.390756008173653,2.32,3.843458896138824,mass_only
24,18.37502173138639,15.556437953869118,25.803564065771358,8.501731234520133,6.068183168680182,10.291221811005078,2.32,3.843458896138824,mass_only
26,18.75479193426937,15.945430389803606,24.49912045383596,8.385910340238802,6.343696347844256,9.548362936824635,2.32,3.843458896138824,mass_only
28,17.890645166734437,15.135742288620474,21.707514467087975,8.139491957533256,6.748892062754173,10.014685007762287,2.32,3.843458896138824,mass_only
30,17.75517694185622,14.729700046768473,22.243443391012306,8.006668925713262,6.654276590484069,9.525428938510828,2.32,3.843458896138824,mass_only
32,17.082623628675996,14.981923114415062,20.90997614599402,8.069251871123509,6.805171456292441,9.140750644095126,2.32,3.843458896138824,mass_only
34,17.043281038776843,14.660701531922072,19.44017133505937,8.025297525775398,6.8983136914891015,9.110213883238751,2.32,3.843458896138824,mass_only
36,16.136841022415055,13.735797002324073,19.758094974262306,7.968861970159438,6.858350700504336,9.466593732087562,2.32,3.843458896138824,mass_only
38,15.470956106939987,13.746952141205872,17.93865860259601,8.0553024922336,6.999199707428834,9.356348547495926,2.32,3.843458896138824,mass_only
40,16.02113990875882,13.540688426293501,18.958195728786364,7.790471514144145,6.751229144242579,9.211676708845184,2.32,3.843458896138824,mass_only
42,14.654758043103843,13.003671175945094,17.66248581086747,8.233513720186956,6.827812744063952,9.34776909969668,2.32,3.843458896138824,mass_only
44,14.611068452008151,12.868922905037623,17.403352962631025,8.074145884762876,6.902210734378491,9.153232054331944,2.32,3.843458896138824,mass_only
46,14.097945626111516,12.116191642762349,16.740063798923675,8.250929079797238,6.9892998780495175,9.535177011951518,2.32,3.843458896138824,mass_only
48,14.405606444237058,12.24306715814502,16.96721988406768,7.940708622199466,6.803883624447263,9.069953852053757,2.32,3.843458896138824,mass_only
50,13.506763427446275,11.835241157935055,15.710203713594629,8.251283680422961,7.121869448124725,9.296434117283056,2.32,3.843458896138824,mass_only
