2457535.6021271250  -1.7601228979  2.2763148199 CARM-VIS
2457563.5982597009   0.1320826764  2.0150372559 CARM-VIS
2457573.5010161609  -0.7148058137  3.3122618049 CARM-VIS
2457596.4474893040   3.1990211583  2.3052085964 CARM-VIS
2457605.4457723070   0.9785519250  2.3251943907 CARM-VIS
2457607.4204671346  -5.1947640167  2.3833157426 CARM-VIS
2457625.3629577323   2.6788216633  2.1569481802 CARM-VIS
2457656.3389312546  -0.9957763592  2.4062746605 CARM-VIS
2457692.2612983496   2.7091386780  1.2655458702 CARM-VIS
2457960.4649359984  -7.0280982767  1.2107066262 CARM-VIS
2458010.3362280745  -4.7443566461  1.4029369306 CARM-VIS
2458273.5857304656   0.7555669440  1.5814936696 CARM-VIS
2458294.5570631479   5.3766910227  1.4036830764 CARM-VIS
2458320.5277283560  11.0565984324  1.9546126757 CARM-VIS
2458349.3994988496  -0.6824325350  1.1018413901 CARM-VIS
2458399.3065678654  -4.1103752773  1.5165791371 CARM-VIS
2458616.5939073828  12.8748273019  1.6289415963 CARM-VIS
2458638.5677964562  -6.9907640226  1.6199325133 CARM-VIS
2458659.4975948329   4.1573912540  1.2679154399 CARM-VIS
2458682.4397922489  13.2267126155  2.1962990125 CARM-VIS
2458710.3925318755  -4.7937631982  1.2812606223 CARM-VIS
2458755.3334822948  -2.6069372712  1.6770437336 CARM-VIS
2459018.5677791662   7.6193149836  1.7876960236 CARM-VIS
2459054.5432129530   5.6117479333  1.8863049015 CARM-VIS
2459085.3911637370   8.0917125724  1.1147731170 CARM-VIS
2459086.3960316968   0.0842714934  1.2332488499 CARM-VIS
2459088.3763429392   9.5723123191  3.0434615116 CARM-VIS
2459091.3870494370  -1.4064950360  3.2421172282 CARM-VIS
2459092.3790259049  -2.5529727491  1.5890535401 CARM-VIS
2459093.3751317877  -1.3830212722  1.2536896203 CARM-VIS
2459095.3815274755   6.0230054876  1.5587919626 CARM-VIS
2459097.3585646809  -4.0393414867  1.4823936240 CARM-VIS
2459098.3778736205  -8.6252695319  1.7079509773 CARM-VIS
2459099.3709867769  -0.1536495351  1.3847571603 CARM-VIS
2459100.3510299479   1.9620955135  1.6384044804 CARM-VIS
2459112.3522759755  -8.8894920090  1.8270425712 CARM-VIS
2459113.3446775964  -3.5269059223  4.6248473052 CARM-VIS
2459114.3369843303  -3.8017681673  1.7042497053 CARM-VIS
2459115.2979438747  -0.1725029519  2.6842232610 CARM-VIS
2459121.3012824776   9.1090890625  1.7685614617 CARM-VIS
2459128.2948904661  -4.8480056291  1.5408129846 CARM-VIS
2459131.2764084842   8.2849554107  1.6153531043 CARM-VIS
2459132.2807597807  -0.8745047361  3.0438832948 CARM-VIS
2459138.3134322832  -9.8746321717  1.7425080273 CARM-VIS
2459148.2845563442  -0.2341626787  2.3329338134 CARM-VIS
2459151.2800212731  -3.9270171265  1.4251618790 CARM-VIS
2459153.2676437804  -8.1520688024  1.4030698449 CARM-VIS
2459356.5672501856   4.9358626672  1.5900985154 CARM-VIS
2459359.5805475442   1.3055030949  1.2919801905 CARM-VIS
2459360.5413506208   5.3266127679  4.0645888457 CARM-VIS
2459367.5381190665  -7.0729423426  2.1436654783 CARM-VIS
2459368.5345297931  -3.0186485808  1.6890493146 CARM-VIS
2459457.4279707768   0.5865214604  2.0408791188 CARM-VIS
2459772.4843684896   2.2661081645  1.5375474921 CARM-VIS
2459775.4798484864   8.0811881663  2.7797110437 CARM-VIS
2459776.4716747715   4.9778788810  2.0646788576 CARM-VIS
2459777.4753139173   3.3678672470  1.5621730998 CARM-VIS
2459778.4886777056   5.6015291877  1.9809264645 CARM-VIS
2459779.4658595347  14.1364330463  2.5068170910 CARM-VIS
2459780.4713456882   0.9964100923  2.2038960679 CARM-VIS
2459782.4301600442  -0.8518812217  2.2271502933 CARM-VIS
2459783.5052804379   2.2779061262  2.3192244891 CARM-VIS
2459785.4806064013  -1.6878346442  3.0224285632 CARM-VIS
2459786.4982936401  -0.7396861598  1.8378839796 CARM-VIS
2459787.5212830938  -0.9005254949  2.0146073305 CARM-VIS
2459788.5126828314   1.0375187723  1.4028077704 CARM-VIS
2459789.4877168937   9.4118669774  1.5017534999 CARM-VIS
2459790.5282289004  -5.3255888087  2.3974402164 CARM-VIS
2459792.4812296298  -2.5508042612  1.5433151829 CARM-VIS
2459793.5433544652  -3.3907755379  1.9285358107 CARM-VIS
2459796.4199369191  -3.8381927089  1.7363059013 CARM-VIS
2459798.3625389929  -0.9933497300  2.3000119863 CARM-VIS
2459800.4147476438   1.2849623460  1.6101241405 CARM-VIS
2459803.4024526118   5.8636353775  2.0222795518 CARM-VIS
2459805.4067509635  10.9707690203  2.3226461784 CARM-VIS
2459806.3705677567   0.7145947809  1.7642617557 CARM-VIS
2459807.3983999179  -2.1968815100  1.9011187185 CARM-VIS
2459808.4482625010   5.4506166036  2.4398768172 CARM-VIS
2459809.4517691960   6.5955611146  2.0388463892 CARM-VIS
2459810.3783689970   5.9915785404  1.3237443102 CARM-VIS
2459811.4376794510  -3.5728699325  2.0794603441 CARM-VIS
2459812.4199025002  -2.3711647013  1.3796169753 CARM-VIS
2459813.4050316550  -1.3413686402  1.3423305213 CARM-VIS
2454565.9197999998   8.2710000000  1.9760000000 HARPS   
2454661.8102199999   1.1780000000  1.3400000000 HARPS   
2454662.7880500001   9.6970000000  1.4890000000 HARPS   
2454663.7603000002  -1.9620000000  1.3470000000 HARPS   
2454664.8165000002  -4.2640000000  2.0530000000 HARPS   
